"table","file","module"
"pedidos_venta","apps\erp-api\src\modules\inventario\logistica\logistica.service.ts","inventario"
"logistica_eventos","apps\erp-api\src\modules\inventario\logistica\logistica.service.ts","inventario"
"pedidos_venta","apps\erp-api\src\modules\inventario\logistica\logistica.service.ts","inventario"
"pedidos_venta","apps\erp-api\src\modules\inventario\logistica\logistica.service.ts","inventario"
"pedido_backorders","apps\erp-api\src\modules\inventario\logistica\logistica.service.ts","inventario"
"pedido_backorders","apps\erp-api\src\modules\inventario\logistica\logistica.service.ts","inventario"
"pedido_backorders","apps\erp-api\src\modules\inventario\logistica\logistica.service.ts","inventario"
"almacen_ubicaciones","apps\erp-api\src\modules\inventario\logistica\logistica.service.ts","inventario"
"empresa_config","apps\erp-api\src\modules\inventario\logistica\logistica.service.ts","inventario"
"pedidos_venta","apps\erp-api\src\modules\inventario\logistica\logistica.service.ts","inventario"
"logistica_eventos","apps\erp-api\src\modules\inventario\logistica\logistica.service.ts","inventario"
"pedidos_venta","apps\erp-api\src\modules\inventario\logistica\logistica.service.ts","inventario"
"rls_audit_log","apps\erp-api\src\modules\security\security-dashboard.service.ts","otros"
"rls_audit_log","apps\erp-api\src\modules\security\security-dashboard.service.ts","otros"
"rls_audit_log","apps\erp-api\src\modules\security\security-dashboard.service.ts","otros"
"rls_audit_log","apps\erp-api\src\modules\security\security-dashboard.service.ts","otros"
"rls_alert_history","apps\erp-api\src\modules\security\security-dashboard.service.ts","otros"
"rls_alert_history","apps\erp-api\src\modules\security\security-dashboard.service.ts","otros"
"v_rls_violations_by_table","apps\erp-api\src\modules\security\security-dashboard.service.ts","otros"
"rls_audit_log","apps\erp-api\src\modules\security\security-dashboard.service.ts","otros"
"v_rls_violations_by_user","apps\erp-api\src\modules\security\security-dashboard.service.ts","otros"
"v_rls_violations_hourly","apps\erp-api\src\modules\security\security-dashboard.service.ts","otros"
"v_rls_alerts_recent","apps\erp-api\src\modules\security\security-dashboard.service.ts","otros"
"v_rls_alerts_unacknowledged","apps\erp-api\src\modules\security\security-dashboard.service.ts","otros"
"productos","apps\erp-api\src\modules\inventario\inventario.service.ts","inventario"
"movimientos_inventario","apps\erp-api\src\modules\inventario\inventario.service.ts","inventario"
"productos","apps\erp-api\src\modules\inventario\inventario.service.ts","inventario"
"outbox_events","apps\erp-api\src\modules\inventario\inventario.service.ts","inventario"
"productos","apps\erp-api\src\modules\inventario\inventario.service.ts","inventario"
"productos","apps\erp-api\src\modules\inventario\inventario.service.ts","inventario"
"productos","apps\erp-api\src\modules\inventario\inventario.service.ts","inventario"
"productos","apps\erp-api\src\modules\inventario\inventario.service.ts","inventario"
"productos","apps\erp-api\src\modules\inventario\inventario.service.ts","inventario"
"productos","apps\erp-api\src\modules\inventario\inventario.service.ts","inventario"
"productos","apps\erp-api\src\modules\inventario\inventario.service.ts","inventario"
"productos","apps\erp-api\src\modules\inventario\inventario.service.ts","inventario"
"producto_existencias","apps\erp-api\src\modules\inventario\inventario.service.ts","inventario"
"productos","apps\erp-api\src\modules\inventario\inventario.service.ts","inventario"
