"file","table"
"apps\erp-api\tests\e2e\compras-e2e.test.ts","proveedores"
"apps\erp-api\tests\e2e\compras-e2e.test.ts","productos"
"apps\erp-api\tests\e2e\compras-e2e.test.ts","ordenes_compra"
"apps\erp-api\tests\e2e\compras-e2e.test.ts","orden_compra_detalles"
"apps\erp-api\tests\e2e\compras-e2e.test.ts","ordenes_compra"
"apps\erp-api\tests\e2e\compras-e2e.test.ts","orden_compra_detalles"
"apps\erp-api\tests\e2e\compras-e2e.test.ts","ordenes_compra"
"apps\erp-api\tests\e2e\compras-e2e.test.ts","productos"
"apps\erp-api\tests\e2e\compras-e2e.test.ts","proveedores"
"apps\erp-api\tests\e2e\compras-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\compras-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\compras-e2e.test.ts","proveedores"
"apps\erp-api\tests\e2e\compras-e2e.test.ts","ordenes_compra"
"apps\erp-api\tests\e2e\compras-e2e.test.ts","ordenes_compra"
"apps\erp-api\tests\e2e\compras-e2e.test.ts","proveedores"
"apps\erp-api\tests\e2e\compras-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\compras-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\compras-e2e.test.ts","proveedores"
"apps\erp-api\tests\e2e\compras-e2e.test.ts","proveedores"
"apps\erp-api\tests\e2e\compras-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\compras-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\compras-e2e.test.ts","ordenes_compra"
"apps\erp-api\tests\e2e\compras-e2e.test.ts","ordenes_compra"
"apps\erp-api\tests\e2e\compras-e2e.test.ts","ordenes_compra"
"apps\erp-api\tests\e2e\compras-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\finanzas-e2e.test.ts","cuentas_por_cobrar"
"apps\erp-api\tests\e2e\finanzas-e2e.test.ts","cuentas_por_pagar"
"apps\erp-api\tests\e2e\finanzas-e2e.test.ts","cuentas_bancarias"
"apps\erp-api\tests\e2e\finanzas-e2e.test.ts","movimientos_bancarios"
"apps\erp-api\tests\e2e\finanzas-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\finanzas-e2e.test.ts","clientes"
"apps\erp-api\tests\e2e\finanzas-e2e.test.ts","cuentas_por_cobrar"
"apps\erp-api\tests\e2e\finanzas-e2e.test.ts","cuentas_por_cobrar"
"apps\erp-api\tests\e2e\finanzas-e2e.test.ts","clientes"
"apps\erp-api\tests\e2e\finanzas-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\finanzas-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\finanzas-e2e.test.ts","proveedores"
"apps\erp-api\tests\e2e\finanzas-e2e.test.ts","cuentas_por_pagar"
"apps\erp-api\tests\e2e\finanzas-e2e.test.ts","cuentas_por_pagar"
"apps\erp-api\tests\e2e\finanzas-e2e.test.ts","proveedores"
"apps\erp-api\tests\e2e\finanzas-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\finanzas-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\finanzas-e2e.test.ts","clientes"
"apps\erp-api\tests\e2e\finanzas-e2e.test.ts","cuentas_por_cobrar"
"apps\erp-api\tests\e2e\finanzas-e2e.test.ts","cuentas_por_cobrar"
"apps\erp-api\tests\e2e\finanzas-e2e.test.ts","cuentas_por_cobrar"
"apps\erp-api\tests\e2e\finanzas-e2e.test.ts","cuentas_por_cobrar"
"apps\erp-api\tests\e2e\finanzas-e2e.test.ts","cuentas_por_cobrar"
"apps\erp-api\tests\e2e\finanzas-e2e.test.ts","cuentas_por_cobrar"
"apps\erp-api\tests\e2e\finanzas-e2e.test.ts","clientes"
"apps\erp-api\tests\e2e\finanzas-e2e.test.ts","clientes"
"apps\erp-api\tests\e2e\finanzas-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\finanzas-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\finanzas-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\finanzas-e2e.test.ts","cuentas_bancarias"
"apps\erp-api\tests\e2e\finanzas-e2e.test.ts","cuentas_bancarias"
"apps\erp-api\tests\e2e\finanzas-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\finanzas-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\finanzas-e2e.test.ts","cuentas_bancarias"
"apps\erp-api\tests\e2e\finanzas-e2e.test.ts","cuentas_bancarias"
"apps\erp-api\tests\e2e\finanzas-e2e.test.ts","cuentas_bancarias"
"apps\erp-api\tests\e2e\finanzas-e2e.test.ts","cuentas_bancarias"
"apps\erp-api\tests\e2e\finanzas-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\finanzas-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\finanzas-e2e.test.ts","clientes"
"apps\erp-api\tests\e2e\finanzas-e2e.test.ts","cuentas_por_cobrar"
"apps\erp-api\tests\e2e\finanzas-e2e.test.ts","cuentas_por_cobrar"
"apps\erp-api\tests\e2e\finanzas-e2e.test.ts","clientes"
"apps\erp-api\tests\e2e\finanzas-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\finanzas-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\finanzas-e2e.test.ts","clientes"
"apps\erp-api\tests\e2e\finanzas-e2e.test.ts","cuentas_por_cobrar"
"apps\erp-api\tests\e2e\finanzas-e2e.test.ts","cuentas_por_cobrar"
