"file","module","object_type","object_name"
"016_p3_rma_multialmacen_dashboards.sql","inventario","policy","rma_eventos_select_rls on rma_eventos"
"016_p3_rma_multialmacen_dashboards.sql","inventario","policy","rma_eventos_insert_rls on rma_eventos"
"017_fix_rls_superadmin_access.sql","seguridad","policy","clientes_tenant_isolation on clientes"
"017_fix_rls_superadmin_access.sql","seguridad","policy","productos_tenant_isolation on productos"
"017_fix_rls_superadmin_access.sql","seguridad","policy","cotizaciones_tenant_isolation on cotizaciones"
"017_fix_rls_superadmin_access.sql","seguridad","policy","cotizacion_detalles_tenant_isolation on cotizacion_detalles"
"017_fix_rls_superadmin_access.sql","seguridad","policy","pedidos_venta_tenant_isolation on pedidos_venta"
"017_fix_rls_superadmin_access.sql","seguridad","policy","pedidos_venta_detalle_tenant_isolation on pedidos_venta_detalle"
"017_fix_rls_superadmin_access.sql","seguridad","policy","documentos_tenant_isolation on documentos"
"017_fix_rls_superadmin_access.sql","seguridad","policy","documento_detalles_tenant_isolation on documento_detalles"
"017_fix_rls_superadmin_access.sql","seguridad","policy","documento_archivos_tenant_isolation on documento_archivos"
"017_fix_rls_superadmin_access.sql","seguridad","policy","documento_auditoria_tenant_isolation on documento_auditoria"
"017_fix_rls_superadmin_access.sql","seguridad","policy","documento_series_tenant_isolation on documento_series"
"017_fix_rls_superadmin_access.sql","seguridad","policy","empresa_config_tenant_isolation on empresa_config"
"017_fix_rls_superadmin_access.sql","seguridad","policy","proveedores_tenant_isolation on proveedores"
"017_fix_rls_superadmin_access.sql","seguridad","policy","ordenes_compra_tenant_isolation on ordenes_compra"
"017_fix_rls_superadmin_access.sql","seguridad","policy","orden_compra_detalles_tenant_isolation on orden_compra_detalles"
"017_fix_rls_superadmin_access.sql","seguridad","policy","empleados_tenant_isolation on empleados"
"017_fix_rls_superadmin_access.sql","seguridad","policy","movimientos_inventario_select on movimientos_inventario"
"017_fix_rls_superadmin_access.sql","seguridad","policy","movimientos_inventario_insert on movimientos_inventario"
